date;cost;
30.10.2016;2560.16;
31.10.2016;2589.79;
01.11.2016;2589.79;
02.11.2016;2609.91;
03.11.2016;2642.09;
04.11.2016;2639.93;
05.11.2016;2640.935;
06.11.2016;2641.94;
07.11.2016;2642.945;
08.11.2016;2643.95;
09.11.2016;2631.14;
10.11.2016;2679.81;
11.11.2016;2611.59;
12.11.2016;2632.8;
13.11.2016;2632.8;
14.11.2016;2588.75;
15.11.2016;2588.75;
16.11.2016;2590.07;
17.11.2016;2543.59;
18.11.2016;2571.28;
19.11.2016;2524.47;
20.11.2016;2524.47;
21.11.2016;2513.92;
22.11.2016;2513.92;
23.11.2016;2490.73;
24.11.2016;2496.78;
25.11.2016;2466.91;
26.11.2016;2467.03;
27.11.2016;2467.03;
28.11.2016;2481.74;
29.11.2016;2481.74;
30.11.2016;2479.11;
01.12.2016;2490.52;
02.12.2016;2392.88;
03.12.2016;2416.6;
04.12.2016;2416.6;
05.12.2016;2394.11;
06.12.2016;2394.11;
07.12.2016;2405.07;
08.12.2016;2406.68;
09.12.2016;2394.18;
10.12.2016;2378.98;
11.12.2016;2378.98;
12.12.2016;2285.54;
13.12.2016;2285.54;
14.12.2016;2272.36;
15.12.2016;2269.68;
16.12.2016;2244.14;
17.12.2016;2253.08;
18.12.2016;2253.08;
19.12.2016;2260.06;
20.12.2016;2260.06;
21.12.2016;2250.56;
22.12.2016;2228.76;
23.12.2016;2212.29;
24.12.2016;2212.76;
25.12.2016;2212.76;
26.12.2016;2214.78;
27.12.2016;2214.78;
28.12.2016;2212.97;
29.12.2016;2223.06;
30.12.2016;2222.29;
31.12.2016;2260.43;
01.01.2017;2260.869;
02.01.2017;2261.308;
03.01.2017;2261.747;
04.01.2017;2262.186;
05.01.2017;2262.625;
06.01.2017;2263.064;
07.01.2017;2263.503;
08.01.2017;2263.942;
09.01.2017;2264.381;
10.01.2017;2264.82;
11.01.2017;2280.67;
12.01.2017;2297.0;
13.01.2017;2308.2;
14.01.2017;2283.58;
15.01.2017;2283.58;
16.01.2017;2304.95;
17.01.2017;2304.95;
18.01.2017;2325.18;
19.01.2017;2307.12;
20.01.2017;2296.25;
21.01.2017;2300.38;
22.01.2017;2300.38;
23.01.2017;2322.0;
24.01.2017;2322.0;
25.01.2017;2309.96;
26.01.2017;2288.67;
27.01.2017;2284.59;
28.01.2017;2296.54;
29.01.2017;2296.54;
30.01.2017;2301.46;
31.01.2017;2301.46;
01.02.2017;2315.82;
02.02.2017;2346.2;
03.02.2017;2360.69;
04.02.2017;2313.26;
05.02.2017;2313.26;
06.02.2017;2306.41;
07.02.2017;2306.41;
08.02.2017;2342.73;
09.02.2017;2364.18;
10.02.2017;2356.4;
11.02.2017;2319.04;
12.02.2017;2319.04;
13.02.2017;2294.96;
14.02.2017;2294.96;
15.02.2017;2282.65;
16.02.2017;2236.21;
17.02.2017;2272.45;
18.02.2017;2300.29;
19.02.2017;2300.29;
20.02.2017;2307.45;
21.02.2017;2307.45;
22.02.2017;2285.64;
23.02.2017;2286.78;
24.02.2017;2297.432;
25.02.2017;2308.084;
26.02.2017;2318.736;
27.02.2017;2329.388;
28.02.2017;2340.04;
01.03.2017;2332.97;
02.03.2017;2338.69;
03.03.2017;2334.69;
04.03.2017;2327.25;
05.03.2017;2327.25;
06.03.2017;2309.12;
07.03.2017;2309.12;
08.03.2017;2292.23;
09.03.2017;2292.23;
10.03.2017;2278.48;
11.03.2017;2278.09;
12.03.2017;2278.09;
13.03.2017;2296.22;
14.03.2017;2296.22;
15.03.2017;2281.23;
16.03.2017;2284.9;
17.03.2017;2295.03;
18.03.2017;2288.71;
19.03.2017;2288.71;
20.03.2017;2270.87;
21.03.2017;2270.87;
22.03.2017;2267.05;
23.03.2017;2309.07;
24.03.2017;2307.87;
25.03.2017;2296.73;
26.03.2017;2296.73;
27.03.2017;2304.33;
28.03.2017;2304.33;
29.03.2017;2294.86;
30.03.2017;2297.02;
31.03.2017;2267.37;
01.04.2017;2234.03;
02.04.2017;2234.03;
03.04.2017;2249.39;
04.04.2017;2249.39;
05.04.2017;2288.6;
06.04.2017;2250.78;
07.04.2017;2274.91;
08.04.2017;2313.7;
09.04.2017;2313.7;
10.04.2017;2313.04;
11.04.2017;2313.04;
12.04.2017;2299.38;
13.04.2017;2321.61;
14.04.2017;2340.43;
15.04.2017;2324.19;
16.04.2017;2324.19;
17.04.2017;2322.38;
18.04.2017;2322.38;
19.04.2017;2312.71;
20.04.2017;2315.48;
21.04.2017;2321.52;
22.04.2017;2316.77;
23.04.2017;2316.77;
24.04.2017;2293.05;
25.04.2017;2293.05;
26.04.2017;2281.14;
27.04.2017;2290.2;
28.04.2017;2315.75;
29.04.2017;2318.58;
30.04.2017;2313.79;
01.05.2017;2309.0;
02.05.2017;2304.21;
03.05.2017;2299.42;
04.05.2017;2301.71;
05.05.2017;2287.51;
06.05.2017;2332.61;
07.05.2017;2322.834;
08.05.2017;2313.058;
09.05.2017;2303.282;
10.05.2017;2293.506;
11.05.2017;2283.73;
12.05.2017;2242.15;
13.05.2017;2256.71;
14.05.2017;2256.71;
15.05.2017;2238.06;
16.05.2017;2238.06;
17.05.2017;2232.16;
18.05.2017;2270.37;
19.05.2017;2330.53;
20.05.2017;2300.58;
21.05.2017;2300.58;
22.05.2017;2280.13;
23.05.2017;2280.13;
24.05.2017;2290.86;
25.05.2017;2264.02;
26.05.2017;2266.17;
27.05.2017;2308.3;
28.05.2017;2308.3;
29.05.2017;2306.55;
30.05.2017;2306.55;
31.05.2017;2294.58;
01.06.2017;2303.34;
02.06.2017;2301.5;
03.06.2017;2298.14;
04.06.2017;2298.14;
05.06.2017;2331.16;
06.06.2017;2331.16;
07.06.2017;2346.63;
08.06.2017;2351.86;
09.06.2017;2353.92;
10.06.2017;2335.26;
11.06.2017;2328.39;
12.06.2017;2321.52;
13.06.2017;2314.65;
14.06.2017;2307.78;
15.06.2017;2325.42;
16.06.2017;2327.5;
17.06.2017;2332.76;
18.06.2017;2332.76;
19.06.2017;2331.31;
20.06.2017;2331.31;
21.06.2017;2347.59;
22.06.2017;2405.61;
23.06.2017;2419.97;
24.06.2017;2409.58;
25.06.2017;2409.58;
26.06.2017;2353.82;
27.06.2017;2353.82;
28.06.2017;2367.22;
29.06.2017;2395.94;
30.06.2017;2368.09;
01.07.2017;2373.75;
02.07.2017;2373.75;
03.07.2017;2341.83;
04.07.2017;2341.83;
05.07.2017;2331.3;
06.07.2017;2340.55;
07.07.2017;2371.28;
08.07.2017;2369.08;
09.07.2017;2369.08;
10.07.2017;2341.12;
11.07.2017;2341.12;
12.07.2017;2366.63;
13.07.2017;2376.69;
14.07.2017;2363.34;
15.07.2017;2346.73;
16.07.2017;2346.73;
17.07.2017;2335.49;
18.07.2017;2335.49;
19.07.2017;2361.38;
20.07.2017;2361.5;
21.07.2017;2348.87;
22.07.2017;2363.19;
23.07.2017;2363.19;
24.07.2017;2408.75;
25.07.2017;2408.75;
26.07.2017;2407.86;
27.07.2017;2398.83;
28.07.2017;2410.62;
29.07.2017;2411.34;
30.07.2017;2411.34;
31.07.2017;2445.42;
01.08.2017;2445.42;
02.08.2017;2437.9;
03.08.2017;2467.12;
04.08.2017;2464.5;
05.08.2017;2461.92;
06.08.2017;2461.92;
07.08.2017;2428.31;
08.08.2017;2428.31;
09.08.2017;2432.93;
10.08.2017;2444.34;
11.08.2017;2464.17;
12.08.2017;2492.94;
13.08.2017;2492.94;
14.08.2017;2463.02;
15.08.2017;2463.02;
16.08.2017;2455.75;
17.08.2017;2435.97;
18.08.2017;2449.51;
19.08.2017;2471.99;
20.08.2017;2471.99;
21.08.2017;2448.27;
22.08.2017;2448.27;
23.08.2017;2439.33;
24.08.2017;2445.68;
25.08.2017;2444.99;
26.08.2017;2447.5;
27.08.2017;2447.5;
28.08.2017;2419.35;
29.08.2017;2419.35;
30.08.2017;2490.44;
31.08.2017;2474.72;
01.09.2017;2457.88;
02.09.2017;2460.84;
03.09.2017;2460.84;
04.09.2017;2479.32;
05.09.2017;2479.32;
06.09.2017;2475.84;
07.09.2017;2470.54;
08.09.2017;2462.58;
09.09.2017;2475.5;
10.09.2017;2475.5;
11.09.2017;2460.67;
12.09.2017;2460.67;
13.09.2017;2441.8;
14.09.2017;2470.08;
15.09.2017;2457.3;
16.09.2017;2450.91;
17.09.2017;2450.91;
18.09.2017;2435.14;
19.09.2017;2435.14;
20.09.2017;2444.1;
21.09.2017;2457.4;
22.09.2017;2428.57;
23.09.2017;2404.09;
24.09.2017;2404.09;
25.09.2017;2397.7;
26.09.2017;2397.7;
27.09.2017;2416.8;
28.09.2017;2408.36;
29.09.2017;2412.46;
30.09.2017;2400.53;
01.10.2017;2400.53;
02.10.2017;2366.37;
03.10.2017;2366.37;
04.10.2017;2366.97;
05.10.2017;2369.68;
06.10.2017;2366.67;
07.10.2017;2355.13;
08.10.2017;2355.13;
09.10.2017;2403.87;
10.10.2017;2403.87;
11.10.2017;2407.73;
12.10.2017;2402.61;
13.10.2017;2400.78;
14.10.2017;2396.96;
15.10.2017;2396.96;
16.10.2017;2395.42;
17.10.2017;2395.42;
18.10.2017;2377.56;
19.10.2017;2358.11;
20.10.2017;2375.49;
21.10.2017;2367.24;
22.10.2017;2367.24;
23.10.2017;2356.31;
24.10.2017;2356.31;
25.10.2017;2366.65;
26.10.2017;2358.02;
27.10.2017;2373.46;
28.10.2017;2367.52;
29.10.2017;2367.52;
30.10.2017;2368.1;
31.10.2017;2368.1;
01.11.2017;2381.26;
02.11.2017;2391.87;
03.11.2017;2383.72;
04.11.2017;2395.72;
05.11.2017;2396.48;
06.11.2017;2397.24;
07.11.2017;2398.0;
08.11.2017;2398.76;
09.11.2017;2442.51;
10.11.2017;2446.04;
11.11.2017;2448.06;
12.11.2017;2448.06;
13.11.2017;2432.48;
14.11.2017;2432.48;
15.11.2017;2441.49;
16.11.2017;2490.46;
17.11.2017;2464.32;
18.11.2017;2461.43;
19.11.2017;2461.43;
20.11.2017;2462.86;
21.11.2017;2462.86;
22.11.2017;2446.97;
23.11.2017;2435.77;
24.11.2017;2424.97;
25.11.2017;2425.97;
26.11.2017;2425.97;
27.11.2017;2425.82;
28.11.2017;2425.82;
29.11.2017;2429.95;
30.11.2017;2428.34;
01.12.2017;2414.85;
02.12.2017;2403.02;
03.12.2017;2403.02;
04.12.2017;2425.95;
05.12.2017;2425.95;
06.12.2017;2407.63;
07.12.2017;2403.37;
08.12.2017;2395.93;
09.12.2017;2374.5;
10.12.2017;2374.5;
11.12.2017;2383.22;
12.12.2017;2383.22;
13.12.2017;2352.08;
14.12.2017;2360.95;
15.12.2017;2369.96;
16.12.2017;2380.77;
17.12.2017;2380.77;
18.12.2017;2375.14;
19.12.2017;2375.14;
20.12.2017;2380.2;
21.12.2017;2389.85;
22.12.2017;2383.26;
23.12.2017;2377.44;
24.12.2017;2377.44;
25.12.2017;2372.69;
26.12.2017;2372.69;
27.12.2017;2353.75;
28.12.2017;2374.39;
29.12.2017;2393.1;
30.12.2017;2400.97;
31.12.2017;2401.947;
01.01.2018;2402.924;
02.01.2018;2403.901;
03.01.2018;2404.879;
04.01.2018;2405.856;
05.01.2018;2406.833;
06.01.2018;2407.810;
07.01.2018;2408.788;
08.01.2018;2409.765;
09.01.2018;2410.742;
10.01.2018;2411.72;
11.01.2018;2416.66;
12.01.2018;2418.56;
13.01.2018;2425.6;
14.01.2018;2425.6;
15.01.2018;2433.4;
16.01.2018;2433.4;
17.01.2018;2420.14;
18.01.2018;2433.29;
19.01.2018;2426.61;
20.01.2018;2430.33;
21.01.2018;2430.33;
22.01.2018;2428.91;
23.01.2018;2428.91;
24.01.2018;2425.06;
25.01.2018;2448.38;
26.01.2018;2445.94;
